,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Guadalupe,3,0.152317880794702,0.3977630275496194,0.38917525773195877,0.023461691891677065,0.0141280353200883,0.03280606934498775,0.0141280353200883,64.31666666666672
Guaratiba,0,0.0728476821192053,0.4545804323138331,0.34953703703703703,0.018465655502799123,0.002737306843267108,0.04376287201553296,0.002737306843267108,59.75000000000006
Higienopolis,1,0.026490066225165563,0.20639786809818286,0.2870722433460076,0.009932082690782683,0.0003532008830022075,0.008936475004721818,0.0003532008830022075,44.80000000000005
Honorio Gurgel,3,0.1456953642384106,0.4055272554801966,0.38817480719794345,0.023247283421457078,0.012097130242825608,0.03588332708093079,0.012097130242825608,66.30000000000003
Humaita,2,0.1986754966887417,0.3497649515898386,0.36211031175059955,0.02471622712515755,0.007328918322295806,0.04116701584162894,0.007328918322295806,61.950000000000045
Imperial de Sao Cristovao,1,0.06622516556291391,0.23497563182066805,0.3424036281179138,0.01697018965509828,0.025165562913907286,0.038593612884666124,0.025165562913907286,67.13333333333338
Inhauma,1,0.09271523178807947,0.21572554067111574,0.38917525773195877,0.020015441866755482,0.04141280353200883,0.053937040091993106,0.04141280353200883,58.36666666666675
Inhoaiba,3,0.12582781456953643,0.42296438153999866,0.360381861575179,0.022259674843669728,0.005298013245033113,0.03608838950248589,0.005298013245033113,73.61666666666669
Ipanema,2,0.11920529801324503,0.4127032734516758,0.3282608695652174,0.021705179624343655,0.005916114790286976,0.03059200430020566,0.005916114790286976,68.76666666666671
Iraja,1,0.09271523178807947,0.3603656974371778,0.3629807692307692,0.020102947853170114,0.007593818984547461,0.026478699983629308,0.007593818984547461,59.650000000000034
Itanhanga,2,0.019867549668874173,0.2163265588833312,0.2649122807017544,0.0070177232979016825,0.00017660044150110375,0.012051397379500109,0.00017660044150110375,60.23333333333337
Jacare,1,0.0728476821192053,0.3903248507208656,0.3471264367816092,0.017438011536941883,0.01456953642384106,0.0273484098904445,0.01456953642384106,68.26666666666672
Jacarepagua,0,0.013245033112582781,0.0,0.26444833625218916,0.00519243803687565,0.0,0.007718330246540421,0.0,67.05000000000001
Jacarezinho,1,0.11920529801324503,0.30614320551981716,0.371007371007371,0.021611600802075737,0.019867549668874173,0.059156130983324395,0.019867549668874173,58.61666666666675
Jardim America,3,0.09933774834437085,0.29156187289643865,0.371007371007371,0.020423683579173645,0.03152317880794702,0.05302389058872198,0.03152317880794702,64.00000000000004
Jardim Botanico,2,0.2052980132450331,0.33518864585684116,0.383248730964467,0.025007333255319765,0.015805739514348785,0.04673748956849242,0.015805739514348785,64.16666666666671
Jardim Carioca,0,0.07947019867549669,0.5558406625963559,0.33555555555555555,0.01691627167393505,0.00017660044150110375,0.024731974629781273,0.00017660044150110375,55.650000000000034
Jardim Guanabara,0,0.059602649006622516,0.6280294558029479,0.311340206185567,0.015114883854409475,0.007770419426048565,0.017262689633688322,0.007770419426048565,60.80000000000005
Jardim Sulacap,3,0.09271523178807947,0.37230370490815523,0.361244019138756,0.019441038159243713,0.04185430463576159,0.03622953035398147,0.04185430463576159,65.55000000000004
Joa,2,0.046357615894039736,0.4352246118469309,0.29549902152641877,0.01414008005902645,0.0006181015452538631,0.01532426366362515,0.0006181015452538631,56.266666666666715
