,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Meier,0,0.375,0.6041618978802807,0.5353159851301115,0.030664689546660906,0.045745920745920744,0.04268073431519408,0.045745920745920744,89.85
Monero,0,0.2777777777777778,0.7844188485837577,0.5034965034965035,0.02968854634822614,0.0006798756798756799,0.01359853438067402,0.0006798756798756799,83.71666666666664
Olaria,1,0.548611111111111,0.5748083119644574,0.5975103734439834,0.03153389193846744,0.005827505827505828,0.028651317878709014,0.005827505827505828,103.08333333333331
Oswaldo Cruz,0,0.5555555555555556,0.6104871887622967,0.5975103734439834,0.03157473242467258,0.0018453768453768455,0.02562500327432758,0.0018453768453768455,100.88333333333334
Paciencia,2,0.07638888888888888,0.5244000212600283,0.41260744985673353,0.021760275083973712,0.10635198135198135,0.11120190833435632,0.10635198135198135,38.070238095238096
Padre Miguel,2,0.2708333333333333,0.6429909870243345,0.4752475247524752,0.029576409947640526,0.0019425019425019425,0.0220625203372246,0.0019425019425019425,94.88333333333334
Parada de Lucas,1,0.3819444444444444,0.5677920787032313,0.5236363636363637,0.030657497235966925,0.005827505827505828,0.024115801947342003,0.005827505827505828,94.24999999999999
Parque Anchieta,2,0.3611111111111111,0.6201776881341939,0.5294117647058824,0.030533911057661726,0.006993006993006993,0.026430433756179417,0.006993006993006993,103.81666666666665
Parque Columbia,2,0.14583333333333331,0.7290460802277606,0.42729970326409494,0.02671815837057621,0.0005827505827505828,0.00885690752612236,0.0005827505827505828,75.48333333333333
Pavuna,2,0.2708333333333333,0.6721963793650614,0.48,0.02955468124314128,0.002136752136752137,0.016694049213084768,0.002136752136752137,91.1
Pechincha,0,0.2986111111111111,0.7819717316219551,0.5070422535211268,0.029950839657264222,0.008158508158508158,0.015921979273461843,0.008158508158508158,104.14999999999999
Pedra de Guaratiba,3,0.041666666666666664,0.6848035288153697,0.23376623376623376,0.004104497541062968,0.013597513597513598,0.018143636891612726,0.013597513597513598,104.84999999999997
Penha,1,0.40277777777777773,0.6182673587349002,0.5413533834586466,0.03079936322286944,0.008838383838383838,0.021710242822929424,0.008838383838383838,59.00000000000005
Penha Circular,1,0.4305555555555555,0.6317509267745195,0.549618320610687,0.03097675813727122,0.004176379176379176,0.02200353602952749,0.004176379176379176,107.1
Piedade,0,0.548611111111111,0.5832312213678402,0.6127659574468085,0.03155461321744823,0.004273504273504274,0.03084940063145245,0.004273504273504274,43.90238095238098
Pilares,0,0.5069444444444444,0.6263943497832495,0.5853658536585366,0.03137795868528399,0.008935508935508936,0.024835101454864075,0.008935508935508936,67.26666666666668
