,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Mare,1,0.38888888888888884,0.5833077706623134,0.5217391304347826,0.030677467085819293,0.009032634032634032,0.0224657754946,0.009032634032634032,33.79126984126983
Marechal Hermes,1,0.6041666666666666,0.5558380931214852,0.62882096069869,0.03173138612281208,0.006701631701631702,0.030364371558165834,0.006701631701631702,85.34999999999998
Maria da Graca,1,0.3680555555555555,0.6775357067066989,0.5353159851301115,0.030583556099112785,0.003885003885003885,0.025358431295876678,0.003885003885003885,106.98333333333333
Meier,0,0.375,0.604161897880281,0.5353159851301115,0.03066468954665979,0.045745920745920744,0.04268073431519499,0.045745920745920744,93.29999999999998
Monero,0,0.2777777777777778,0.7844188485837572,0.5034965034965035,0.02968854634822487,0.0006798756798756799,0.013598534380673585,0.0006798756798756799,30.684523809523775
Olaria,1,0.548611111111111,0.5748083119644571,0.5975103734439834,0.03153389193846607,0.005827505827505828,0.028651317878711377,0.005827505827505828,113.31666666666666
Oswaldo Cruz,0,0.5555555555555556,0.6104871887622969,0.5975103734439834,0.03157473242467119,0.0018453768453768455,0.02562500327433038,0.0018453768453768455,92.13333333333331
Paciencia,2,0.07638888888888888,0.5244000212600285,0.41260744985673353,0.021760275083972814,0.10635198135198135,0.11120190833437638,0.10635198135198135,88.91666666666666
Padre Miguel,2,0.2708333333333333,0.6429909870243345,0.4752475247524752,0.029576409947639066,0.0019425019425019425,0.022062520337224514,0.0019425019425019425,105.10000000000001
Parada de Lucas,1,0.3819444444444444,0.5677920787032315,0.5236363636363637,0.03065749723596556,0.005827505827505828,0.02411580194734443,0.005827505827505828,71.38333333333337
Parque Anchieta,2,0.3611111111111111,0.6201776881341939,0.5294117647058824,0.030533911057660023,0.006993006993006993,0.02643043375618136,0.006993006993006993,77.4
Parque Columbia,1,0.14583333333333331,0.7290460802277606,0.42729970326409494,0.02671815837057521,0.0005827505827505828,0.008856907526122016,0.0005827505827505828,96.26666666666667
Pavuna,1,0.2708333333333333,0.6721963793650614,0.48,0.029554681243140108,0.002136752136752137,0.0166940492130863,0.002136752136752137,98.14999999999999
Pechincha,0,0.2986111111111111,0.7819717316219548,0.5070422535211268,0.029950839657262862,0.008158508158508158,0.01592197927346218,0.008158508158508158,86.73333333333332
Pedra de Guaratiba,3,0.041666666666666664,0.6848035288153695,0.23376623376623376,0.004104497541062472,0.013597513597513598,0.0181436368916171,0.013597513597513598,67.88333333333338
Penha,1,0.40277777777777773,0.6182673587349006,0.5413533834586466,0.030799363222867818,0.008838383838383838,0.02171024282293147,0.008838383838383838,103.08333333333333
Penha Circular,1,0.4305555555555555,0.6317509267745195,0.549618320610687,0.030976758137269633,0.004176379176379176,0.022003536029528765,0.004176379176379176,53.11904761904766
Piedade,0,0.548611111111111,0.5832312213678402,0.6127659574468085,0.03155461321744688,0.004273504273504274,0.03084940063145229,0.004273504273504274,83.56666666666663
Pilares,0,0.5069444444444444,0.6263943497832499,0.5853658536585366,0.03137795868528244,0.008935508935508936,0.02483510145486325,0.008935508935508936,83.50000000000001
Pitangueiras,0,0.3333333333333333,0.6887558845627231,0.51985559566787,0.03026203100948126,0.017871017871017872,0.01667912117117045,0.017871017871017872,96.18333333333334
Portuguesa,0,0.4722222222222222,0.6451408556581615,0.5783132530120482,0.03121041877084809,0.005439005439005439,0.02280611900529125,0.005439005439005439,107.10000000000001
Praca da Bandeira,0,0.15277777777777776,0.5856869183087661,0.4376899696048632,0.026887479560640935,0.021076146076146076,0.03385453801041134,0.021076146076146076,64.5666666666667
Praca Seca,0,0.3472222222222222,0.7298538348560489,0.5353159851301115,0.03040205486809461,0.003205128205128205,0.01823180264586676,0.003205128205128205,91.10000000000001
Praia da Bandeira,0,0.34027777777777773,0.7234829677684922,0.5236363636363637,0.03034593387195282,0.009324009324009324,0.017873432003504792,0.009324009324009324,53.202380952381006
Quintino Bocaiuva,2,0.3472222222222222,0.6829457800785068,0.5236363636363637,0.030412783962785798,0.005827505827505828,0.020470182531745353,0.005827505827505828,104.85
Ramos,1,0.3055555555555555,0.6767139938692339,0.4982698961937716,0.02997333096314414,0.006993006993006993,0.016276312149406873,0.006993006993006993,83.91666666666667
Realengo,2,0.2638888888888889,0.648871628812833,0.49146757679180886,0.029513948023841365,0.00505050505050505,0.031065933207803466,0.00505050505050505,98.88333333333335
Riachuelo,0,0.5069444444444444,0.6145945216859571,0.5975103734439834,0.0313756369567039,0.010003885003885004,0.028571650755354585,0.010003885003885004,67.26666666666671
